Ticker,Yahoo,Name
CHTR,CHTR,Charter Communications Inc
LNG,LNG,Cheniere Energy Inc
CVX,CVX,Chevron Corp
CHWY,CHWY,Chewy Inc
CMG,CMG,Chipotle Mexican Grill Inc
CB,CB,Chubb Ltd
CHD,CHD,Church & Dwight Co Inc
CI,CI,Cigna Corp
CINF,CINF,Cincinnati Financial Corp
CTAS,CTAS,Cintas Corp
CSCO,CSCO,Cisco Systems Inc
C,C,Citigroup Inc
CFG,CFG,Citizens Financial Group Inc
CTXS,CTXS,Citrix Systems Inc
CLX,CLX,Clorox Co
NET,NET,Cloudflare Inc
CME,CME,CME Group Inc
CMS,CMS,CMS Energy Corp
KO,KO,Coca-Cola Co
CTSH,CTSH,Cognizant Technology Solutions Corp
COIN,COIN,Coinbase Global Inc
CL,CL,Colgate-Palmolive Co
CMCSA,CMCSA,Comcast Corp
CAG,CAG,Conagra Brands Inc
COP,COP,ConocoPhillips
ED,ED,Consolidated Edison Inc
STZ,STZ,Constellation Brands Inc
CEG,CEG,Constellation Energy Corp
COO,COO,Cooper Cos Inc
CPRT,CPRT,Copart Inc
GLW,GLW,Corning Inc
CTVA,CTVA,Corteva Inc
CSGP,CSGP,CoStar Group Inc
COST,COST,Costco Wholesale Corp
CPNG,CPNG,Coupang Inc
CRWD,CRWD,Crowdstrike Holdings Inc
CCI,CCI,Crown Castle Inc
CSX,CSX,CSX Corp
CMI,CMI,Cummins Inc
CVS,CVS,CVS Health Corp
DHR,DHR,Danaher Corp
DRI,DRI,Darden Restaurants Inc
DDOG,DDOG,Datadog Inc
DVA,DVA,DaVita Inc
DE,DE,Deere & Co
DELL,DELL,Dell Technologies Inc
DAL,DAL,Delta Air Lines Inc
XRAY,XRAY,DENTSPLY SIRONA Inc
DVN,DVN,Devon Energy Corp
DXCM,DXCM,Dexcom Inc
FANG,FANG,Diamondback Energy Inc
DLR,DLR,Digital Realty Trust Inc
DFS,DFS,Discover Financial Services
DISH,DISH,DISH Network Corp
DOCU,DOCU,DocuSign Inc
DG,DG,Dollar General Corp
DLTR,DLTR,Dollar Tree Inc
D,D,Dominion Energy Inc
DPZ,DPZ,Dominos Pizza Inc
DASH,DASH,DoorDash Inc
DOV,DOV,Dover Corp
DOW,DOW,Dow Inc
DHI,DHI,DR Horton Inc
DTE,DTE,DTE Energy Co
DUK,DUK,Duke Energy Corp
DRE,DRE,Duke Realty Corp
DD,DD,DuPont de Nemours Inc
EMN,EMN,Eastman Chemical Co
ETN,ETN,Eaton Corp PLC
EBAY,EBAY,eBay Inc
ECL,ECL,Ecolab Inc
EIX,EIX,Edison International
EW,EW,Edwards Lifesciences Corp
ELAN,ELAN,Elanco Animal Health Inc
EA,EA,Electronic Arts Inc
ELV,ELV,Elevance Health Inc
LLY,LLY,Eli Lilly & Co
EMR,EMR,Emerson Electric Co
ENPH,ENPH,Enphase Energy Inc
ETR,ETR,Entergy Corp
EOG,EOG,EOG Resources Inc
EPAM,EPAM,EPAM Systems Inc
EFX,EFX,Equifax Inc
EQIX,EQIX,Equinix Inc
EQR,EQR,Equity Residential
ESS,ESS,Essex Property Trust Inc
EL,EL,Estee Lauder Cos Inc
ETSY,ETSY,Etsy Inc
RE,RE,Everest Re Group Ltd
EVRG,EVRG,Evergy Inc
ES,ES,Eversource Energy
EXAS,EXAS,Exact Sciences Corp
EXC,EXC,Exelon Corp
EXPE,EXPE,Expedia Group Inc
EXPD,EXPD,Expeditors International of Washington Inc
EXR,EXR,Extra Space Storage Inc
XOM,XOM,Exxon Mobil Corp
FFIV,FFIV,F5 Inc
FAST,FAST,Fastenal Co
FDX,FDX,FedEx Corp
FNF,FNF,Fidelity National Financial Inc
FIS,FIS,Fidelity National Information Services Inc
FITB,FITB,Fifth Third Bancorp
FRC,FRC,First Republic Bank
FE,FE,FirstEnergy Corp
FISV,FISV,Fiserv Inc
FLT,FLT,FleetCor Technologies Inc
FMC,FMC,FMC Corp
F,F,Ford Motor Co
FTNT,FTNT,Fortinet Inc
FTV,FTV,Fortive Corp
FBHS,FBHS,Fortune Brands Home & Security Inc
FOX,FOX,Fox Corp
FOXA,FOXA,Fox Corp
BEN,BEN,Franklin Resources Inc
FCX,FCX,Freeport-McMoRan Inc
GRMN,GRMN,Garmin Ltd
IT,IT,Gartner Inc
GNRC,GNRC,Generac Holdings Inc
GD,GD,General Dynamics Corp
GE,GE,General Electric Co
GIS,GIS,General Mills Inc
GM,GM,General Motors Co
GPC,GPC,Genuine Parts Co
GILD,GILD,Gilead Sciences Inc
GPN,GPN,Global Payments Inc
GFS,GFS,GLOBALFOUNDRIES Inc
GL,GL,Globe Life Inc
GS,GS,Goldman Sachs Group Inc
HAL,HAL,Halliburton Co
HIG,HIG,Hartford Financial Services Group Inc
HAS,HAS,Hasbro Inc
HCA,HCA,HCA Healthcare Inc
PEAK,PEAK,Healthpeak Properties Inc
HSIC,HSIC,Henry Schein Inc
HSY,HSY,Hershey Co
HES,HES,Hess Corp
HPE,HPE,Hewlett Packard Enterprise Co
HLT,HLT,Hilton Worldwide Holdings Inc
HOLX,HOLX,Hologic Inc
HD,HD,Home Depot Inc
HON,HON,Honeywell International Inc
HZNP,HZNP,Horizon Therapeutics Plc
HRL,HRL,Hormel Foods Corp
HST,HST,Host Hotels & Resorts Inc
HPQ,HPQ,HP Inc
HUBS,HUBS,HubSpot Inc
HUM,HUM,Humana Inc
HBAN,HBAN,Huntington Bancshares Inc
IAC,IAC,IAC Inc
IDXX,IDXX,IDEXX Laboratories Inc
ITW,ITW,Illinois Tool Works Inc
ILMN,ILMN,Illumina Inc
INCY,INCY,Incyte Corp
IR,IR,Ingersoll Rand Inc
INTC,INTC,Intel Corp
IBKR,IBKR,Interactive Brokers Group Inc
ICE,ICE,Intercontinental Exchange Inc
IBM,IBM,International Business Machines Corp
IFF,IFF,International Flavors & Fragrances Inc
IP,IP,International Paper Co
INTU,INTU,Intuit Inc
ISRG,ISRG,Intuitive Surgical Inc
INVH,INVH,Invitation Homes Inc
IQV,IQV,IQVIA Holdings Inc
IRM,IRM,Iron Mountain Inc
SJM,SJM,J M Smucker Co
JAZZ,JAZZ,Jazz Pharmaceuticals PLC
JBHT,JBHT,JB Hunt Transport Services Inc
JNJ,JNJ,Johnson & Johnson
JCI,JCI,Johnson Controls International plc
JPM,JPM,JPMorgan Chase & Co
K,K,Kellogg Co
KDP,KDP,Keurig Dr Pepper Inc
KEY,KEY,KeyCorp
KEYS,KEYS,Keysight Technologies Inc
KMB,KMB,Kimberly-Clark Corp
KMI,KMI,Kinder Morgan Inc
KKR,KKR,KKR & Co Inc
KLAC,KLAC,KLA Corp
KHC,KHC,Kraft Heinz Co
KR,KR,Kroger Co
LHX,LHX,L3Harris Technologies Inc
LH,LH,Laboratory Corp of America Holdings
LRCX,LRCX,Lam Research Corp
LVS,LVS,Las Vegas Sands Corp
LDOS,LDOS,Leidos Holdings Inc
LEN/B,LEN-B,Lennar Corp
LEN,LEN,Lennar Corp
LBRDA,LBRDA,Liberty Broadband Corp
LBRDK,LBRDK,Liberty Broadband Corp
LSXMA,LSXMA,Liberty Media Corp-Liberty SiriusXM
LSXMK,LSXMK,Liberty Media Corp-Liberty SiriusXM
LIN,LIN,Linde PLC
LYV,LYV,Live Nation Entertainment Inc
LKQ,LKQ,LKQ Corp
LMT,LMT,Lockheed Martin Corp
L,L,Loews Corp
LOW,LOW,Lowes Cos Inc
LCID,LCID,Lucid Group Inc
LULU,LULU,Lululemon Athletica Inc
LUMN,LUMN,Lumen Technologies Inc
LYFT,LYFT,Lyft Inc
LYB,LYB,LyondellBasell Industries NV
MTB,MTB,M&T Bank Corp
MPC,MPC,Marathon Petroleum Corp
MKL,MKL,Markel Corp
MAR,MAR,Marriott International Inc
MMC,MMC,Marsh & McLennan Cos Inc
MLM,MLM,Martin Marietta Materials Inc
MRVL,MRVL,Marvell Technology Inc
MAS,MAS,Masco Corp
MA,MA,Mastercard Inc
MTCH,MTCH,Match Group Inc
MKC,MKC,McCormick & Co Inc
MCD,MCD,McDonalds Corp
MCK,MCK,McKesson Corp
MDT,MDT,Medtronic PLC
MELI,MELI,MercadoLibre Inc
MRK,MRK,Merck & Co Inc
META,META,Meta Platforms Inc
MET,MET,MetLife Inc
MTD,MTD,Mettler-Toledo International Inc
MGM,MGM,MGM Resorts International
MCHP,MCHP,Microchip Technology Inc
MU,MU,Micron Technology Inc
MSFT,MSFT,Microsoft Corp
MAA,MAA,Mid-America Apartment Communities Inc
MRNA,MRNA,Moderna Inc
TAP,TAP,Molson Coors Beverage Co
MDLZ,MDLZ,Mondelez International Inc
MDB,MDB,MongoDB Inc
MNST,MNST,Monster Beverage Corp
MCO,MCO,Moodys Corp
MS,MS,Morgan Stanley
MOS,MOS,Mosaic Co
MSI,MSI,Motorola Solutions Inc
MSCI,MSCI,MSCI Inc
NDAQ,NDAQ,Nasdaq Inc
NTAP,NTAP,NetApp Inc
NFLX,NFLX,Netflix Inc
NWL,NWL,Newell Brands Inc
NEM,NEM,Newmont Corp
NEE,NEE,NextEra Energy Inc
NKE,NKE,NIKE Inc
NI,NI,NiSource Inc
NSC,NSC,Norfolk Southern Corp
NTRS,NTRS,Northern Trust Corp
NOC,NOC,Northrop Grumman Corp
NLOK,NLOK,NortonLifeLock Inc
NUE,NUE,Nucor Corp
NVDA,NVDA,NVIDIA Corp
NVR,NVR,NVR Inc
OXY,OXY,Occidental Petroleum Corp
OKTA,OKTA,Okta Inc
ODFL,ODFL,Old Dominion Freight Line Inc
OMC,OMC,Omnicom Group Inc
OKE,OKE,ONEOK Inc
ORCL,ORCL,Oracle Corp
ORLY,ORLY,OReilly Automotive Inc
OGN,OGN,Organon & Co
OTIS,OTIS,Otis Worldwide Corp
PCAR,PCAR,PACCAR Inc
PKG,PKG,Packaging Corp of America
PLTR,PLTR,Palantir Technologies Inc
PANW,PANW,Palo Alto Networks Inc
PARAA,PARAA,Paramount Global
PARA,PARA,Paramount Global
PH,PH,Parker-Hannifin Corp
PAYX,PAYX,Paychex Inc
PAYC,PAYC,Paycom Software Inc
PYPL,PYPL,PayPal Holdings Inc
PEP,PEP,PepsiCo Inc
PFE,PFE,Pfizer Inc
PCG,PCG,PG&E Corp
PM,PM,Philip Morris International Inc
PSX,PSX,Phillips 66
PNW,PNW,Pinnacle West Capital Corp
PINS,PINS,Pinterest Inc
PXD,PXD,Pioneer Natural Resources Co
PNC,PNC,PNC Financial Services Group Inc
PPG,PPG,PPG Industries Inc
PPL,PPL,PPL Corp
PFG,PFG,Principal Financial Group Inc
PG,PG,Procter & Gamble Co
PGR,PGR,Progressive Corp
PLD,PLD,Prologis Inc
PRU,PRU,Prudential Financial Inc
PEG,PEG,Public Service Enterprise Group Inc
PSA,PSA,Public Storage
PHM,PHM,PulteGroup Inc
QRVO,QRVO,Qorvo Inc
QCOM,QCOM,QUALCOMM Inc
XM,XM,Qualtrics International Inc
DGX,DGX,Quest Diagnostics Inc
RJF,RJF,Raymond James Financial Inc
RTX,RTX,Raytheon Technologies Corp
O,O,Realty Income Corp
REGN,REGN,Regeneron Pharmaceuticals Inc
RF,RF,Regions Financial Corp
RSG,RSG,Republic Services Inc
RMD,RMD,ResMed Inc
RNG,RNG,RingCentral Inc
RIVN,RIVN,Rivian Automotive Inc
HOOD,HOOD,Robinhood Markets Inc
RBLX,RBLX,ROBLOX Corp
RKT,RKT,Rocket Cos Inc
ROK,ROK,Rockwell Automation Inc
ROKU,ROKU,Roku Inc
ROL,ROL,Rollins Inc
ROP,ROP,Roper Technologies Inc
ROST,ROST,Ross Stores Inc
RCL,RCL,Royal Caribbean Cruises Ltd
RPRX,RPRX,Royalty Pharma PLC
SPGI,SPGI,S&P Global Inc
CRM,CRM,Salesforce Inc
SBAC,SBAC,SBA Communications Corp
SLB,SLB,Schlumberger NV
STX,STX,Seagate Technology Holdings PLC
SGEN,SGEN,Seagen Inc
SRE,SRE,Sempra Energy
NOW,NOW,ServiceNow Inc
SHW,SHW,Sherwin-Williams Co
SPG,SPG,Simon Property Group Inc
SIRI,SIRI,Sirius XM Holdings Inc
SWKS,SWKS,Skyworks Solutions Inc
SNAP,SNAP,Snap Inc
SNA,SNA,Snap-on Inc
SNOW,SNOW,Snowflake Inc
SO,SO,Southern Co
SCCO,SCCO,Southern Copper Corp
LUV,LUV,Southwest Airlines Co
SPLK,SPLK,Splunk Inc
SPOT,SPOT,Spotify Technology SA
SSNC,SSNC,SS&C Technologies Holdings Inc
SWK,SWK,Stanley Black & Decker Inc
SBUX,SBUX,Starbucks Corp
STT,STT,State Street Corp
STE,STE,STERIS PLC
SYK,SYK,Stryker Corp
SIVB,SIVB,SVB Financial Group
SYF,SYF,Synchrony Financial
SNPS,SNPS,Synopsys Inc
SYY,SYY,Sysco Corp
TROW,TROW,T Rowe Price Group Inc
TMUS,TMUS,T-Mobile US Inc
TTWO,TTWO,Take-Two Interactive Software Inc
TGT,TGT,Target Corp
TEL,TEL,TE Connectivity Ltd
TDOC,TDOC,Teladoc Health Inc
TFX,TFX,Teleflex Inc
TER,TER,Teradyne Inc
TSLA,TSLA,Tesla Inc
TXN,TXN,Texas Instruments Inc
TXT,TXT,Textron Inc
TMO,TMO,Thermo Fisher Scientific Inc
TJX,TJX,TJX Cos Inc
TSCO,TSCO,Tractor Supply Co
TTD,TTD,Trade Desk Inc
TT,TT,Trane Technologies PLC
TDG,TDG,TransDigm Group Inc
TRU,TRU,TransUnion
TRV,TRV,Travelers Cos Inc
TRMB,TRMB,Trimble Inc
TFC,TFC,Truist Financial Corp
TWLO,TWLO,Twilio Inc
TWTR,TWTR,Twitter Inc
TSN,TSN,Tyson Foods Inc
UBER,UBER,Uber Technologies Inc
UDR,UDR,UDR Inc
PATH,PATH,UiPath Inc
ULTA,ULTA,Ulta Beauty Inc
UNP,UNP,Union Pacific Corp
UAL,UAL,United Airlines Holdings Inc
UPS,UPS,United Parcel Service Inc
URI,URI,United Rentals Inc
UNH,UNH,UnitedHealth Group Inc
U,U,Unity Software Inc
UHS,UHS,Universal Health Services Inc
USB,USB,US Bancorp
MTN,MTN,Vail Resorts Inc
VLO,VLO,Valero Energy Corp
VEEV,VEEV,Veeva Systems Inc
VTR,VTR,Ventas Inc
VRSN,VRSN,VeriSign Inc
VRSK,VRSK,Verisk Analytics Inc
VZ,VZ,Verizon Communications Inc
VRTX,VRTX,Vertex Pharmaceuticals Inc
VFC,VFC,VF Corp
VTRS,VTRS,Viatris Inc
V,V,Visa Inc
VMW,VMW,VMware Inc
VMC,VMC,Vulcan Materials Co
WRB,WRB,W R Berkley Corp
WBA,WBA,Walgreens Boots Alliance Inc
WMT,WMT,Walmart Inc
DIS,DIS,Walt Disney Co
WBD,WBD,Warner Bros Discovery Inc
WMG,WMG,Warner Music Group Corp
WM,WM,Waste Management Inc
WAT,WAT,Waters Corp
W,W,Wayfair Inc
WEC,WEC,WEC Energy Group Inc
WFC,WFC,Wells Fargo & Co
WELL,WELL,Welltower Inc
WST,WST,West Pharmaceutical Services Inc
WDC,WDC,Western Digital Corp
WAB,WAB,Westinghouse Air Brake Technologies Corp
WRK,WRK,WestRock Co
WY,WY,Weyerhaeuser Co
WHR,WHR,Whirlpool Corp
WMB,WMB,Williams Cos Inc
WTW,WTW,Willis Towers Watson PLC
WDAY,WDAY,Workday Inc
WPC,WPC,WP Carey Inc
GWW,GWW,WW Grainger Inc
XEL,XEL,Xcel Energy Inc
XYL,XYL,Xylem Inc
YUMC,YUMC,Yum China Holdings Inc
YUM,YUM,Yum! Brands Inc
ZBRA,ZBRA,Zebra Technologies Corp
ZG,ZG,Zillow Group Inc
Z,Z,Zillow Group Inc
ZBH,ZBH,Zimmer Biomet Holdings Inc
ZTS,ZTS,Zoetis Inc
ZM,ZM,Zoom Video Communications Inc
ZI,ZI,ZoomInfo Technologies Inc
ZS,ZS,Zscaler Inc
